iana-etc 20260306-1
icoutils 0.32.3-4
icu 78.3-1
imagemagick 7.1.2.18-1
imake 1.0.11-1
imath 3.2.2-4
imlib2 1.12.6-1
inetutils 2.7-2
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
insync 3.9.8.60034-2
intel-ucode 20260227-1
iproute2 6.19.0-2
iptables 1:1.8.11-2
iputils 20250605-1
ironbar-git 0.18.0.r167.g89e66b0-1
ironbar-git-debug 0.18.0.r167.g89e66b0-1
iso-codes 4.20.1-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbigkit 2.1-8
jdk-openjdk 26.u35-1
jemalloc 1:5.3.0-7
jq 1.8.1-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
karchive 6.24.0-2
kbd 2.9.0-1
kbookmarks 6.24.0-2
kcmutils 6.24.0-2
kcodecs 6.24.0-2
kcolorscheme 6.24.0-1
kcompletion 6.24.0-2
kconfig 6.24.0-2
kconfigwidgets 6.24.0-2
kcoreaddons 6.24.0-3
kcrash 6.24.0-2
kdbusaddons 6.24.0-2
kdecoration 6.6.3-1
keyutils 1.6.3-3
kglobalaccel 6.24.0-2
kguiaddons 6.24.0-3
ki18n 6.24.0-2
kiconthemes 6.24.0-2
kio 6.24.0-2
kirigami 6.24.0-1
kitemviews 6.24.0-2
kitty 0.46.2-1
kitty-shell-integration 0.46.2-1
kitty-terminfo 0.46.2-1
kjobwidgets 6.24.0-3
kmod 34.2-1
knewstuff 6.24.0-2
knotifications 6.24.0-3
kpackage 6.24.0-2
krb5 1.21.3-2
kservice 6.24.0-2
kwallet 6.24.0-2
kwidgetsaddons 6.24.0-3
kwindowsystem 6.24.0-2
kxmlgui 6.24.0-3
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lcms2 2.18-1
leancrypto 1.7.0-1
leptonica 1.87.0-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.19.0-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.7.5-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-1
lib32-glibc 2.43+r5+g856c426a7534-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.12-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libdrm 2.4.131-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libglvnd 1.7.0-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.68.1-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.22.0-1
lib32-libpciaccess 0.19-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.3-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxml2 2.15.2-1
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.2-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.0.3-1
lib32-ncurses 6.6-2
lib32-nettle 3.10.2-1
lib32-nvidia-580xx-utils 580.142-1
lib32-opencl-nvidia 595.58.03-1
lib32-openssl 1:3.6.1-1
lib32-p11-kit 0.26.2-1
lib32-spirv-tools 1:1.4.341.0-1
lib32-wayland 1.24.0-1
lib32-xz 5.8.2-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libadwaita 1:1.8.4-1
libaec 1.1.6-1
libappindicator 12.10.1-1
libarchive 3.8.6-1
libasan 15.2.1+r604+g0b99615a8aef-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 15.2.1+r604+g0b99615a8aef-1
libavc1394 0.5.4-7
libavif 1.4.1-1
libavtp 0.2.0-3
libb2 0.98.1-3
libb64 1.2.1-5
libblockdev 3.4.0-3
libblockdev-crypto 3.4.0-3
libblockdev-fs 3.4.0-3
libblockdev-loop 3.4.0-3
libblockdev-mdraid 3.4.0-3
libblockdev-nvme 3.4.0-3
